Genome name	BioSample	Dataset	Run(s) accession number(s)	Year of sampling	Clade (only for Lee 2015)
G00784	SAMEA2419085	Stucki 2015	ERR464758		
G00785	SAMEA2419103	Stucki 2015	ERR464776		
G00788	SAMEA2419091	Stucki 2015	ERR464764		
G00789	SAMEA2419097	Stucki 2015	ERR464770		
G00790	SAMEA2419110	Stucki 2015	ERR464783		
G00791	SAMEA2419090	Stucki 2015	ERR464763		
G00792	SAMEA2419102	Stucki 2015	ERR464775		
G00796	SAMEA2419107	Stucki 2015	ERR464780		
G00797	SAMEA2419105	Stucki 2015	ERR464778		
G00798	SAMEA2419106	Stucki 2015	ERR464779		
G00802	SAMEA2419081	Stucki 2015	ERR464754		
G00803	SAMEA2419100	Stucki 2015	ERR464773		
G00807	SAMEA2419111	Stucki 2015	ERR464784		
G00808	SAMEA2419088	Stucki 2015	ERR464761		
G00809	SAMEA2419082	Stucki 2015	ERR464755		
G00820	SAMEA2419109	Stucki 2015	ERR464782		
G00964	SAMEA2419119	Stucki 2015	ERR464792		
G00965	SAMEA2419092	Stucki 2015	ERR464765		
G00974	SAMEA2419056	Szucki 2015	ERR464729		
G01014	SAMEA2419093	Stucki 2015	ERR464766		
G01015	SAMEA2419087	Stucki 2015	ERR464760		
G01016	SAMEA2419089	Stucki 2015	ERR464762		
G01017	SAMEA2419094	Stucki 2015	ERR464767		
G01019	SAMEA2419086	Stucki 2015	ERR464759		
G00152	SAMN00102901	Stucki 2016	SRR006918		
G00287	SAMEA3671464	Stucki 2016	ERR1198988		
G00288	SAMEA3671584	Stucki 2016	ERR1198989		
G00293	SAMEA3671592	Stucki 2016	ERR1198991		
G00294	SAMEA3671570	Stucki 2016	ERR1198992		
G00296	SAMEA3671595	Stucki 2016	ERR1198993		
G00303	SAMEA3671496	Stucki 2016	ERR1198994		
G00305	SAMEA3671631	Stucki 2016	ERR1198995		
G00306	SAMEA3671567	Stucki 2016	ERR1198996		
G00307	SAMEA3671585	Stucki 2016	ERR1198997		
G00315	SAMEA3671598	Stucki 2016	ERR1198998		
G00318	SAMEA3671622	Stucki 2016	ERR1198999		
G00319	SAMEA3671620	Stucki 2016	ERR1199000		
G00320	SAMEA3671484	Stucki 2016	ERR1199001		
G00323	SAMEA3671623	Stucki 2016	ERR1199002		
G00324	SAMEA3671610	Stucki 2016	ERR1199003		
G00326	SAMEA3671579	Stucki 2016	ERR1199005		
G00327	SAMEA3671628	Stucki 2016	ERR1199006		
G00328	SAMEA3671562	Stucki 2016	ERR1199007		
G00329	SAMEA3671629	Stucki 2016	ERR1199008		
G00330	SAMEA3671603	Stucki 2016	ERR1199009		
G00334	SAMEA3671578	Stucki 2016	ERR1199010		
G00340	SAMEA3671523	Stucki 2016	ERR1199011		
G00343	SAMEA3671619	Stucki 2016	ERR1199012		
G00347	SAMEA3671569	Stucki 2016	ERR1199013		
G00348	SAMEA3671624	Stucki 2016	ERR1199014		
G00349	SAMEA3671575	Stucki 2016	ERR1199015		
G00351	SAMEA3671561	Stucki 2016	ERR1199016		
G00354	SAMEA3671555	Stucki 2016	ERR1199017		
G00355	SAMN06052342	Stucki 2016	ERR1199019		
G00356	SAMEA3671630	Stucki 2016	ERR1199019		
G00357	SAMEA3671602	Stucki 2016	ERR1199020		
G00358	SAMEA3671593	Stucki 2016	ERR1199021		
G00428	SAMEA3671475	Stucki 2016	ERR1199022		
G00436	SAMEA3671583	Stucki 2016	ERR1199023		
G00438	SAMEA3671502	Stucki 2016	ERR1199024		
G00439	SAMEA3671509	Stucki 2016	ERR1199025		
G00443	SAMEA3671568	Stucki 2016	ERR1199026		
G00448	SAMEA3671621	Stucki 2016	ERR1199027		
G00451	SAMEA3671625	Stucki 2016	ERR1199028		
G00454	SAMEA3671508	Stucki 2016	ERR1199029		
G00455	SAMEA3671613	Stucki 2016	ERR1199030		
G00456	SAMEA3671556	Stucki 2016	ERR1199031		
G00457	SAMEA3671616	Stucki 2016	ERR1199032		
G00461	SAMEA3671492	Stucki 2016	ERR1199033		
G00465	SAMEA3671482	Stucki 2016	ERR1199034		
G00467	SAMEA3671518	Stucki 2016	ERR1199035		
G00468	SAMEA3671549	Stucki 2016	ERR1199036		
G00470	SAMEA3671511	Stucki 2016	ERR1199037		
G00471	SAMEA3671541	Stucki 2016	ERR1199038		
G00474	SAMEA3671476	Stucki 2016	ERR1199039		
G00475	SAMEA3671470	Stucki 2016	ERR1199040		
G00478	SAMEA3671473	Stucki 2016	ERR1199041		
G00480	SAMN06052311	Stucki 2016	ERR1199042		
G00481	SAMEA3671483	Stucki 2016	ERR1199043		
G00483	SAMEA3671479	Stucki 2016	ERR1199044		
G00484	SAMEA3671485	Stucki 2016	ERR1199045		
G00488	SAMEA3671471	Stucki 2016	ERR1199046		
G00489	SAMEA3671510	Stucki 2016	ERR1199047		
G00500	SAMEA3671500	Stucki 2016	ERR1199048		
G00506	SAMEA3671597	Stucki 2016	ERR1199049		
G00507	SAMEA3671576	Stucki 2016	ERR1199050		
G00643	SAMEA3671498	Stucki 2016	ERR1199051		
G00660	SAMEA3671587	Stucki 2016	ERR1199052		
G00676	SAMEA3671554	Stucki 2016	ERR1199053		
G00678	SAMEA3671580	Stucki 2016	ERR1199054		
G00686	SAMEA3671495	Stucki 2016	ERR1199055		
G00692	SAMEA3671543	Stucki 2016	ERR1199056		
G00694	SAMEA3671504	Stucki 2016	ERR1199057		
G00695	SAMEA3671537	Stucki 2016	ERR1199058		
G00697	SAMN06052331	Stucki 2016	ERR1199059		
G00698	SAMEA3671506	Stucki 2016	ERR1199060		
G00700	SAMEA3671548	Stucki 2016	ERR1199061		
G00704	SAMEA3671514	Stucki 2016	ERR1199062		
G00705	SAMEA3671553	Stucki 2016	ERR1199063		
G00706	SAMEA3671564	Stucki 2016	ERR1199064		
G00708	SAMEA3671517	Stucki 2016	ERR1199065		
G00710	SAMEA3671609	Stucki 2016	ERR1199066		
G00712	SAMEA3671507	Stucki 2016	ERR1199067		
G00714	SAMEA3671604	Stucki 2016	ERR1199068		
G00719	SAMEA3671600	Stucki 2016	ERR1199069		
G00722	SAMEA3671632	Stucki 2016	ERR1199070		
G00873	SAMEA1877293	Stucki 2016	ERR234172		
G01444	SAMEA3671487	Stucki 2016	ERR1199071		
G01448	SAMEA3671503	Stucki 2016	ERR1199072		
G01449	SAMEA3671494	Stucki 2016	ERR1199073		
G01453	SAMEA3671547	Stucki 2016	ERR1199074		
G01456	SAMEA3671469	Stucki 2016	ERR1199075		
G01457	SAMEA3671488	Stucki 2016	ERR1199076		
G01458	SAMEA3671472	Stucki 2016	ERR1199077		
G01459	SAMEA3671497	Stucki 2016	ERR1199078		
G01460	SAMEA3671505	Stucki 2016	ERR1199079		
G01462	SAMEA3671486	Stucki 2016	ERR1199080		
G01463	SAMEA3671468	Stucki 2016	ERR1199081		
G01466	SAMEA3671524	Stucki 2016	ERR1199082		
G01469	SAMEA3671499	Stucki 2016	ERR1199083		
G01474	SAMEA3671474	Stucki 2016	ERR1199084		
G01475	SAMEA3671586	Stucki 2016	ERR1199085		
G01476	SAMEA3671501	Stucki 2016	ERR1199086		
G01477	SAMEA3671477	Stucki 2016	ERR1199087		
G01478	SAMEA3671489	Stucki 2016	ERR1199088		
G01479	SAMEA3671526	Stucki 2016	ERR1199089		
G01480	SAMEA3671491	Stucki 2016	ERR1199090		
G01481	SAMEA3671480	Stucki 2016	ERR1199091		
G02090	SAMEA3671607	Stucki 2016	ERR1199146		
G02092	SAMEA3671605	Stucki 2016	ERR1199147		
G02128	SAMEA3671617	Stucki 2016	ERR1199148		
G02129	SAMEA3671612	Stucki 2016	ERR1199092		
G02389	SAMEA3671558	Stucki 2016	ERR1199149		
G02497	SAMEA3671551	Stucki 2016	ERR1199150		
G02501	SAMEA3671520	Stucki 2016	ERR1199151		
G02516	SAMEA3671577	Stucki 2016	ERR1199152		
G02530	SAMEA3671525	Stucki 2016	ERR1199153		
G03735	SAMEA897773	Stucki 2016	ERR036194		
G03927	SAMEA3671559	Stucki 2016	ERR1199143		
G03928	SAMEA3671465	Stucki 2016	ERR1199130		
G03929	SAMEA3671527	Stucki 2016	ERR1199097		
G03930	SAMEA3671512	Stucki 2016	ERR1199131		
G03931	SAMEA3671581	Stucki 2016	ERR1199145		
G03932	SAMEA3671608	Stucki 2016	ERR1199125		
G03933	SAMEA3671528	Stucki 2016	ERR1199137		
G03936	SAMEA3671521	Stucki 2016	ERR1199135		
G03938	SAMEA3671515	Stucki 2016	ERR1199133		
G03939	SAMEA3671544	Stucki 2016	ERR1199142		
G03940	SAMEA3671566	Stucki 2016	ERR1199144		
G03941	SAMEA3671542	Stucki 2016	ERR1199141		
G03942	SAMEA3671540	Stucki 2016	ERR1199140		
G03943	SAMEA3671529	Stucki 2016	ERR1199138		
G03947	SAMEA3671588	Stucki 2016	ERR1199116		
G03948	SAMEA3671522	Stucki 2016	ERR1199136		
G03951	SAMEA3671490	Stucki 2016	ERR1199095		
G03952	SAMEA3671574	Stucki 2016	ERR1199114		
G03953	SAMEA3671462	Stucki 2016	ERR1199129		
G03956	SAMEA3671519	Stucki 2016	ERR1199134		
G03959	SAMEA3671467	Stucki 2016	ERR1199094		
G03961	SAMEA3671513	Stucki 2016	ERR1199132		
G03965	SAMEA3671534	Stucki 2016	ERR1199101		
G03966	SAMEA3671573	Stucki 2016	ERR1199113		
G03971	SAMEA3671538	Stucki 2016	ERR1199104		
G03973	SAMEA3671599	Stucki 2016	ERR1199122		
G03975	SAMEA3671550	Stucki 2016	ERR1199107		
G03976	SAMEA3671571	Stucki 2016	ERR1199111		
G03977	SAMEA3671535	Stucki 2016	ERR1199102		
G03980	SAMEA3671560	Stucki 2016	ERR1199109		
G03983	SAMEA3671572	Stucki 2016	ERR1199112		
G03987	SAMEA3671539	Stucki 2016	ERR1199105		
G03991	SAMEA3671596	Stucki 2016	ERR1199121		
G03992	SAMEA3671545	Stucki 2016	ERR1199106		
G03994	SAMEA3671618	Stucki 2016	ERR1199128		
G03996	SAMEA3671536	Stucki 2016	ERR1199103		
G03999	SAMEA3671532	Stucki 2016	ERR1199100		
G04001	SAMEA3671563	Stucki 2016	ERR1199110		
G04003	SAMEA3671530	Stucki 2016	ERR1199098		
G04008	SAMEA3671590	Stucki 2016	ERR1199118		
G04009	SAMEA3671594	Stucki 2016	ERR1199120		
G04010	SAMEA3671516	Stucki 2016	ERR1199096		
G04017	SAMEA3671557	Stucki 2016	ERR1199108		
G04018	SAMEA3671614	Stucki 2016	ERR1199126		
G04022	SAMEA3671606	Stucki 2016	ERR1199124		
G04025	SAMEA3671615	Stucki 2016	ERR1199127		
G04026	SAMEA3671589	Stucki 2016	ERR1199117		
G04027	SAMEA3671601	Stucki 2016	ERR1199123		
G04028	SAMEA3671582	Stucki 2016	ERR1199115		
G04456	SAMEA3671466	Stucki 2016	ERR1198987		
G04462	SAMEA1485487	Stucki 2016	ERR163970		
G04475	SAMEA1556784	Stucki 2016	ERR182018		
G04481	SAMEA1688686	Stucki 2016	ERR221579		
G04483	SAMEA2267005	Stucki 2016	ERR473300		
G16403	SAMN02381022	Stucki 2016	SRR1049561;SRR1049562		
G16410	SAMN02567670	Stucki 2016	SRR1173704		
G16436	SAMN02380990	Stucki 2016	SRR1062880		
G16471	SAMN02380998	Stucki 2016	SRR1140717		
G16482	SAMN02567676	Stucki 2016	SRR1173717		
G16642	SAMN02381047	Stucki 2016	SRR1049743;SRR1049744		
G16662	SAMN02381051	Stucki 2016	SRR1049751;SRR1049752		
